id,title,company,location,salary,description
NAU_765185," Sr. Rep, Reconciliation",Naukri Listed Company,Chennai, Not Disclosed by Recruiter ," Sr. Rep, Reconciliation Accounts  Root cause analysis| asset servicing| Regulatory reporting| Accounting| Banking operations| Reconciliation| Technology solutions| Operations| Testing Accounts , Finance , Tax , Company Secretary , Audit Banking, Financial Services, Broking 3 - 5 yrs"
NAU_328676, Manager Sales & Marketing - Offset Printing & Packaging,Naukri Listed Company,Bengaluru (Rajaji Nagar) ," 6,00,000 - 9,00,000 PA. "," Manager Sales & Marketing - Offset Printing & Packaging Institutional Sales  sales| marketing| sales management| institutional sales| offset printing| Printing & Packaging Sales , Retail , Business Development Printing, Packaging 5 - 10 yrs"
NAU_460461, Freshers! for Udyog Vihar & Sector 44 Gurgaon Huda City Center,Naukri Listed Company,"Delhi NCR,Gurgaon"," 50,000 - 3,00,000 PA. "," Freshers! for Udyog Vihar & Sector 44 Gurgaon Huda City Center Other  bpo| voice process| outbound| lead generation| sales| customer service| night shift| fresher| back office| backend| non voice| inbound process| calling| Aegis ITES , BPO , KPO , LPO , Customer Service , Operations Fresher, Trainee, Entry Level 0 - 1 yrs"
NAU_681363, Reporting Services-BQA,Naukri Listed Company,Noida, Not Disclosed by Recruiter ," Reporting Services-BQA Medical Professional  Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology IT-Software, Software Services 2 - 7 yrs"
NAU_665568,C++/python Expert with Networking Skills,Naukri Listed Company," Bengaluru, Chennai, Hyderabad, Pune", Not Disclosed by Recruiter,"C++/python Expert with Networking Skills Programming & Design VC++|Django|Networking C / C++|Mongo DB|Python IT Software - Application Programming , Maintenance IT-Software / Software Services  3 - 8 Years"
NAU_212063, Senior Executive - Learning and Development,Naukri Listed Company,Mumbai," 4,50,000 - 8,00,000 PA. "," Senior Executive - Learning and Development HR/ Recruitment / IR  Learning| Training| Behavioural Training| Soft Skills Training HR , Recruitment , Administration , IR Consumer Electronics, Appliances, Durables 4 - 8 yrs"
NAU_536785, Cyber Security Risk Manager,Naukri Listed Company,Chennai, Not Disclosed by Recruiter ," Cyber Security Risk Manager Admin/Maintenance/Security/Datawarehousing  Information security| Network security| Application development| Computer science| Cism| remediation| Assurance| IT risk| cyber security| Risk management IT Software - Network Administration , Security Education, Teaching, Training 5 - 7 yrs"
NAU_852006, ASP.Net Developer,Naukri Listed Company,Mumbai, Not Disclosed by Recruiter ," ASP.Net Developer Programming & Design  Javascript| PHP| HTML| CSS| JSP| Flash MX| MySQL| ASP.Net| developer| net| support| flash IT Software - Application Programming , Maintenance IT-Software, Software Services 1 - 2 yrs"
NAU_874989, Chemical Process Engineer,Naukri Listed Company,Pune, Not Disclosed by Recruiter ," Chemical Process Engineer Operations  process engineer| conversion| chemical| industrial| industry| o| leader| complexes| plastics| design ITES , BPO , KPO , LPO , Customer Service , Operations Chemicals, PetroChemical, Plastic, Rubber 3 - 5 yrs"
NAU_722085, Social Media Strategists,Naukri Listed Company,Mumbai, Not Disclosed by Recruiter ," Social Media Strategists Programming & Design  Graphics| Drupal| Coding| XML| Social media| MySQL| PHP| JSON| Open source| Joomla IT Software - eCommerce , Internet Technologies Advertising, PR, MR, Event Management 0 - 3 yrs"
NAU_884195, Assistant Manager - Rural Term Loan,Naukri Listed Company,Hyderabad, Not Disclosed by Recruiter ," Assistant Manager - Rural Term Loan Retail/Personal Banking  Relationship management| Loans| Team management| Operational risk| Networking| NBFC| Branch sales| Product sales| Sales Executive| Management Financial Services , Banking , Investments , Insurance Banking, Financial Services, Broking 2 - 3 yrs"
NAU_777859,International Tax Analyst,Naukri Listed Company,Bengaluru,Openings: 1,"International Tax Analyst Accounts transfer pricing|treasury operations|international taxation|financial accounting|vat|auditing|income tax|Treasury|finance Accounts , Finance , Tax , Company Secretary , Audit IT-Software / Software Services  3 - 5 Years"
NAU_888913, SAP FI S/4 HANA Accounting,Naukri Listed Company,Bengaluru, Not Disclosed by Recruiter ," SAP FI S/4 HANA Accounting Programming & Design  Business process| Outsourcing| Analytical| Operations| Process mapping| Process study| Team leading| SAP FICO| SAP FI| Accounting IT Software - ERP , CRM IT-Software, Software Services 1 - 5 yrs"
NAU_169228, VP Engineering Manager/ System Architect/ Development Manager,Naukri Listed Company,"Bengaluru,Hyderabad", Not Disclosed by Recruiter ," VP Engineering Manager/ System Architect/ Development Manager Senior Management  devops| cloud| microservices| machine learning| artificial intelligence| algorithms| coding| javascript| aws| azure| core java| ansible| jenkins| java| spring| soa IT Software - Application Programming , Maintenance IT-Software, Software Services 14 - 21 yrs"
NAU_409908, Graphic Designer At Bandar (bkc),Naukri Listed Company,Mumbai, Not Disclosed by Recruiter ," Graphic Designer At Bandar (bkc) Creative  Graphics| Digital Advertising| Infographics| Social Media| Web Technologies| Campaigns| Graphic Designing Design , Creative , User Experience Media, Entertainment, Internet 2 - 3 yrs"
NAU_238919, Trucks & Buses - Senior SW Engineer,Naukri Listed Company,Bengaluru, Not Disclosed by Recruiter ," Trucks & Buses - Senior SW Engineer Programming & Design  Transmission| Powertrain| MATLAB| Simulink| ISO| Embedded C| functional safety| Targetlink| Test scenarios| SIL IT Software - Embedded , EDA , VLSI , ASIC , Chip Design Automobile, Auto Anciliary, Auto Components 3 - 8 yrs"
NAU_265024, Analyst,Naukri Listed Company,Chennai, Not Disclosed by Recruiter ," Analyst Corporate Planning/Consulting/Strategy  SQL queries| Excel| Senior Analyst| Analytical| Data analytics| Business strategy| ITES| Marketing research| Forecasting Strategy , Management Consulting , Corporate Planning BPO, Call Centre, ITeS 2 - 5 yrs"
NAU_373955, SQLEngineer,Naukri Listed Company,Chennai, Not Disclosed by Recruiter ," SQLEngineer Programming & Design  Sql Server 2008| Data modeling| ITES| Stored procedures| Management| SSIS| Database Administrator| SQL scripting| SQL development| database development IT Software - DBA , Datawarehousing Recruitment, Staffing 5 - 7 yrs"
NAU_290891, Urgent Hiring For Sr. HR Executive || Gurgaon,Naukri Listed Company,Gurgaon," 50,000 - 3,00,000 PA. "," Urgent Hiring For Sr. HR Executive || Gurgaon HR/ Recruitment / IR  hr recruiter| recruitment| mass hiring| volume hiring| bulk hiring| bpo hiring HR , Recruitment , Administration , IR Recruitment, Staffing 1 - 4 yrs"
NAU_862780, Senior Executive - Contract Control/ Sales Co-ordination,Naukri Listed Company,Mumbai," 5,00,000 - 8,00,000 PA. "," Senior Executive - Contract Control/ Sales Co-ordination nan  bid preparation| Sales Coordination| order execution| Order Processing| Tender Preparation Other Industrial Products, Heavy Machinery 4 - 8 yrs"
NAU_637440,SAP IBP Integrated Business Planning,Naukri Listed Company, Bengaluru, Not Disclosed by Recruiter,"SAP IBP Integrated Business Planning Programming & Design Flex|SAP BPC|Business process|Outsourcing|Business planning|Operations|C|Inventory|Manager Technology IT Software - ERP , CRM IT-Software / Software Services  5 - 6 Years"
NAU_887343, Hiring for Shopify Apps developer for Location,Naukri Listed Company,Bengaluru, Not Disclosed by Recruiter ," Hiring for Shopify Apps developer for Location Programming & Design  Algorithms| Linux| MySQL| Javascript| CMS| PHP| HTML| System Architect| SQL| Ajax IT Software - Application Programming , Maintenance IT-Software, Software Services 2 - 7 yrs"
NAU_933508, Kitchen Stewarding Executive,Naukri Listed Company,Mumbai, Not Disclosed by Recruiter ," Kitchen Stewarding Executive Other  Hospitality| Scheduling| Kitchen Stewarding Executive| Safety training| Management| Supervisor| Counselling| Chemical| Cooking| Station Hotels , Restaurants Travel , Hotels , Restaurants , Airlines , Railways 1 - 4 yrs"
NAU_301491, Opening for Oracle EBS Discrete Manufacturing _ Hyderabad,Naukri Listed Company,Hyderabad," 7,00,000 - 11,00,000 PA. "," Opening for Oracle EBS Discrete Manufacturing _ Hyderabad Programming & Design  WIP| Discrete Manufacturing| Oracle E - business Suite| Project Implementation| BoM| Costing| Inventory IT Software - Application Programming , Maintenance IT-Software, Software Services 8 - 10 yrs"
NAU_385553, Technical Lead (.NET),Naukri Listed Company,Hyderabad, Not Disclosed by Recruiter ," Technical Lead (.NET) Programming & Design  MS SQL| jQuery| Javascript| JSON| WCF| MVC| WPF| Monitoring| Ajax| CSS3 IT Software - Application Programming , Maintenance IT-Software, Software Services 6 - 8 yrs"
NAU_142234, .Net Developer - C#/asp,Naukri Listed Company,Pune, Not Disclosed by Recruiter ," .Net Developer - C#/asp Programming & Design  Entity Framework| ASP.Net| MVC| Javascript| SQL Server| JQuery| C#.Net| C#| ASP| SSRS| DBMS| SQL Server Reporting Services| .NET development IT Software - Application Programming , Maintenance IT-Software, Software Services 3 - 8 yrs"
NAU_710036, Seema-Asp.Net Developer,Naukri Listed Company,Ahmedabad, Not Disclosed by Recruiter ," Seema-Asp.Net Developer Programming & Design  continuous integration| MS SQL| jQuery| Architecture| Web development| Schema| ASP.Net| MVC| angularjs| Object oriented programming IT Software - Application Programming , Maintenance Recruitment, Staffing 1 - 3 yrs"
NAU_833334, Assistant Manager Marketing,Naukri Listed Company,"Delhi NCR,Mumbai,Bengaluru", Not Disclosed by Recruiter ," Assistant Manager Marketing Retail Sales  marketing management| sales| b2b sales| b2b marketing| engineering sales| chemical sales| Business Development| Corporate Sales| Institutional Sales| industrial sales Sales , Retail , Business Development Industrial Products, Heavy Machinery 1 - 6 yrs"
NAU_796285, Marketing,Naukri Listed Company,Mumbai, Not Disclosed by Recruiter ," Marketing Marketing Research  marketing| planning| comm| road shows| media| events| designing| mass communication Marketing , Advertising , MR , PR , Media Planning Education, Teaching, Training 2 - 5 yrs"
NAU_291750, Assistant Manager Sales - Unsecured Business Loan,Naukri Listed Company,"Hyderabad,Pune,Bengaluru,Kolhapur,Nagpur", Not Disclosed by Recruiter ," Assistant Manager Sales - Unsecured Business Loan Retail Sales  business loan| sales| personal loans| retail assets| educational loans| loans| unsecured loans| Bl| PL| Third Party Products| loan Sales , Retail , Business Development Banking, Financial Services, Broking 1 - 6 yrs"
NAU_432457, Simulator Maintenance Engineer,Naukri Listed Company,Gurgaon, Not Disclosed by Recruiter ," Simulator Maintenance Engineer Production/Manufacturing/Maintenance  Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| Vendor Management| Asset Management Production , Manufacturing , Maintenance Education, Teaching, Training 4 - 9 yrs"
NAU_155240, Integrated Solution Consultant,Naukri Listed Company,Mumbai, Not Disclosed by Recruiter ," Integrated Solution Consultant Other  Wireless| Computer science| LMS| WAN| Consulting| Presales| Site planning| ICT| Project delivery| cisco IT Hardware , Technical Support , Telecom Engineering IT-Software, Software Services 6 - 10 yrs"
NAU_717909, Member Board OF Governors - WITH Investments - PAN India,Naukri Listed Company,"Delhi NCR,Mumbai,Bengaluru,Chennai,Hyderabad,Pune,Kolkata,Ahmedabad,Dubai/ UAE"," 30,00,000 - 45,00,000 PA. "," Member Board OF Governors - WITH Investments - PAN India nan  ceo| coo| vice president| leadership| country head| chief executive officers| general manager| SBU HEAD Top Management Recruitment, Staffing 25 - 35 yrs"
NAU_630460," Head Chef, Sou Chef, Chef De Partie, (ahmedabad Location)",Naukri Listed Company,Ahmedabad," 5,00,000 - 14,00,000 PA. "," Head Chef, Sou Chef, Chef De Partie, (ahmedabad Location) Food & Beverage  chef de partie| sous chef| Executive Chef| cdp Hotels , Restaurants Travel , Hotels , Restaurants , Airlines , Railways 5 - 10 yrs"
NAU_772125, BE/ B.tech Mechanical & Automobile Engineer Freshers Jobs at Chennai,Naukri Listed Company,Chennai, Best in Industry ," BE/ B.tech Mechanical & Automobile Engineer Freshers Jobs at Chennai Other  sheet metal| quality control| production| fabrication| cad| logistics| injection moulding| machine operator| mechanical designing| solid works| machining| production supervisor| quality assurance| manufacturing| cnc| maintenance| Assembly Production , Manufacturing , Maintenance Industrial Products, Heavy Machinery 0 - 1 yrs"
NAU_899717, Relationship Manager,Naukri Listed Company,Bengaluru, Not Disclosed by Recruiter ," Relationship Manager Retail Sales  marketing executive| distributors| customer profiling| Relationship| sales strategy| market research| Business Development| sales executive Sales , Retail , Business Development Real Estate, Property 5 - 10 yrs"
NAU_491532, Sugar Crm Developer,Naukri Listed Company,Ahmedabad, Not Disclosed by Recruiter ," Sugar Crm Developer Programming & Design  SugarCRM| Web technologies| Database design| MySQL| Javascript| PHP| Research| Ajax| Recruitment IT Software - Application Programming , Maintenance IT-Software, Software Services 2 - 7 yrs"
NAU_744581,Senior Executive (accounts Payable),Naukri Listed Company,Gurgaon,Openings: 1,"Senior Executive (accounts Payable) Accounts Vendor Payments|TDS|Accounting|Finance|Vendor Reconciliation|Taxation|Invoice Verification|Invoicing|Accounts Payable|Auditing Accounts , Finance , Tax , Company Secretary , Audit Travel / Hotels / Restaurants / Airlines / Railways  1 - 3 Years"
NAU_234081, Engineering Lead IoT Streaming Analytics Platform,Naukri Listed Company,"Hyderabad,Bengaluru", Not Disclosed by Recruiter ," Engineering Lead IoT Streaming Analytics Platform Programming & Design  Building| Cloud computing| Usage| Algorithms| Javascript| Data structures| Business Executive| Analytics| microservices IT Software - Application Programming , Maintenance Recruitment, Staffing 2 - 7 yrs"
NAU_934214, Jr. HR Recruiter (Female) ,Naukri Listed Company,Delhi, Not Disclosed by Recruiter ," Jr. HR Recruiter (Female)  HR/ Recruitment / IR  documentation| excellent | datase| hr recruiter| interviews| computer skills| joining formalities| telephonic| microsoft windows HR , Recruitment , Administration , IR Banking, Financial Services, Broking 1 - 6 yrs"
NAU_313424,Immediate Joiners For .net Developers,Naukri Listed Company, Bengaluru, Not Disclosed by Recruiter,"Immediate Joiners For .net Developers TEKsystems - an Allegis Group company, is the world's leading Technology Staffing & services Organization. We service over 4000 clients globally, of which 91% are Fortune 100, 82% are Fortune 500 companies. At the moment, I am working towards SAP C4C consultant position for one of our clients - A global leader in manufacturing engineered products for Defence, Aero-Space, Atuomobile, Automotives, Power Transmission etc., based in Bangalore. C#|Windows Forms|ADO.Net|SSRS|Javascript|ASP.Net|.Net|Entity Framework|WCF|SQL Server TEKsystems - an Allegis Group company, is the world's leading Technology Staffing & services Organization. We service over 4000 clients globally, of which 91% are Fortune 100, 82% are Fortune 500 companies. At the moment, I am working towards SAP C4C consultant position for one of our clients - A global leader in manufacturing engineered products for Defence, Aero-Space, Atuomobile, Automotives, Power Transmission etc., based in Bangalore. TEKsystems - an Allegis Group company, is the world's leading Technology Staffing & services Organization. We service over 4000 clients globally, of which 91% are Fortune 100, 82% are Fortune 500 companies. At the moment, I am working towards SAP C4C consultant position for one of our clients - A global leader in manufacturing engineered products for Defence, Aero-Space, Atuomobile, Automotives, Power Transmission etc., based in Bangalore.  4 - 6 Years"
NAU_232970, Sales Executive (packagiing) @ Faridabad,Naukri Listed Company,Faridabad, Not Disclosed by Recruiter ," Sales Executive (packagiing) @ Faridabad Institutional Sales  Problem Solving| Customer Satisfaction| Client Meeting| Closing| Sales Executive Activities Sales , Retail , Business Development Printing, Packaging 3 - 5 yrs"
NAU_262969, Walk-in... Barclays (12 June) ( Customer Service) [ Call- Swati,Naukri Listed Company,"Delhi NCR,Noida"," 2,50,000 - 5,00,000 PA. "," Walk-in... Barclays (12 June) ( Customer Service) [ Call- Swati Voice  bpo| international sales| voice| call centre| international bpo| csr| inbound| wipro| customer service| technical sales| customer care| customer support| hcl| technical support| b2b sales| collections| exl ITES , BPO , KPO , LPO , Customer Service , Operations BPO, Call Centre, ITeS 0 - 5 yrs"
NAU_461968, Opening in International BPO/ 5 Days + Cabs With Attractive Salary,Naukri Listed Company,"Delhi NCR,Ghaziabad,Gurgaon"," 1,00,000 - 3,25,000 PA. "," Opening in International BPO/ 5 Days + Cabs With Attractive Salary Other  Customer Care| International BPO| Call Center| Inbound Process| Cce| Night Shift| Calling| Non Voice Process| KPO| Outbound| Sales| Marketing| Customer Support| Back Office| Non Voice| Domestic BPO| Data Entry| Voice Process| MNC ITES , BPO , KPO , LPO , Customer Service , Operations BPO, Call Centre, ITeS 0 - 0 yrs"
NAU_424432, Software Engineer - IT,Naukri Listed Company,Bengaluru, Not Disclosed by Recruiter ," Software Engineer - IT Programming & Design  SQL| Javascript| SEO| jQuery| Open source| Web development| Middleware| Database design| Information technology| Order management IT Software - Application Programming , Maintenance IT-Software, Software Services 5 - 10 yrs"
NAU_625304, Manager/ Assistant Manager - Product Development,Naukri Listed Company,Bengaluru, Not Disclosed by Recruiter ," Manager/ Assistant Manager - Product Development Programming & Design  Product Development| jQuery| MySQL| Javascript| PHP| LAMP| Webservices| Laravel IT Software - DBA , Datawarehousing IT-Software, Software Services 4 - 9 yrs"
NAU_988972, Business Development Manager in Plastic Injection Molding Industry,Naukri Listed Company,Pune, Not Disclosed by Recruiter ," Business Development Manager in Plastic Injection Molding Industry Retail Sales  Plastic Injection Molding| Sales| Injection Moulding| Business Development Management| Sales Manager Sales , Retail , Business Development Chemicals, PetroChemical, Plastic, Rubber 4 - 9 yrs"
NAU_909193, Travel Sales Consultant,Naukri Listed Company,Delhi (AD Block Pitampura) ," 2,50,000 - 5,50,000 PA. "," Travel Sales Consultant Ticketing/Travel/Documentation  Travel Sales| Inbound Calls| BPO| Customer Handling| International Travel| Sales Consulting| Sales Process| New Zealand Travel , Tours , Ticketing , Airlines Travel , Hotels , Restaurants , Airlines , Railways 1 - 6 yrs"
NAU_277158, Hiring For a Technical Process.,Naukri Listed Company,Gurgaon," 2,00,000 - 3,50,000 PA. "," Hiring For a Technical Process. Voice  bpo| International Call Center| Desktop Troubleshooting| Technical Process| Technical Voice Process| International BPO ITES , BPO , KPO , LPO , Customer Service , Operations BPO, Call Centre, ITeS 0 - 4 yrs"
NAU_212304, Linux System Engineers (linux Engineers),Naukri Listed Company,Gurgaon, Not Disclosed by Recruiter ," Linux System Engineers (linux Engineers) Admin/Maintenance/Security/Datawarehousing  Web Hosting| Storage| Linux| Networking| DNS| Load Balancing| Devops| RHCE| Monitoring IT Software - eCommerce , Internet Technologies IT-Software, Software Services 3 - 6 yrs"
NAU_682440, Business Development managers,Naukri Listed Company,Hyderabad, Not Disclosed by Recruiter ," Business Development managers Corporate Sales  Business Development Manager| Telemarketing| Service| Cold calling| Market research| Customer retention| Business process| Data Entry Operator| Leadership skills| Web technologies Sales , Retail , Business Development Telcom, ISP 2 - 7 yrs"
NAU_120993, Automation Test Engineer - Selenium/c#,Naukri Listed Company,Hyderabad, Not Disclosed by Recruiter ," Automation Test Engineer - Selenium/c# Programming & Design  Testing| Test Automation| Selenium| C#| Software Quality Assurance| SQL| SDLC| ASP| .Net IT Software - QA & Testing IT-Software, Software Services 6 - 8 yrs"
NAU_926752,Veeva CRM,Naukri Listed Company, Bengaluru, Not Disclosed by Recruiter,"Veeva CRM Programming & Design Business process|Data modeling|Debugging|Outsourcing|Troubleshooting|Operations|Apex|CRM|Salesforce|Visualforce IT Software - Application Programming , Maintenance IT-Software / Software Services  15 - 20 Years"
NAU_573073, ENHANCE CBS - Group B1,Naukri Listed Company,Pune, Not Disclosed by Recruiter ," ENHANCE CBS - Group B1 Accounts  SAP| ERP| Journal entries| Customer service| Fixed asset accounting| record to report| Accounts receivable| Bank reconciliation| Accounting| Management Accounts , Finance , Tax , Company Secretary , Audit BPO, Call Centre, ITeS 1 - 2 yrs"
NAU_384023, ADM - External Affairs &amp; CSR - Bangalore,Naukri Listed Company,Bengaluru," 12,00,000 - 16,00,000 PA. "," ADM - External Affairs &amp; CSR - Bangalore CSR & Sustainability  senior management| ngo| key skills| Corporate Social Responsibility| Govt Liasioning| corporate pr| External Communications CSR & Sustainability Automobile, Auto Anciliary, Auto Components 8 - 13 yrs"
NAU_104992, Agency Development Manager,Naukri Listed Company,"Kolkata,Durgapur"," 2,50,000 - 4,50,000 PA. "," Agency Development Manager Retail Sales  agent| sales manager| unit manager| agent recruitment| business development| bdm| agency manager| sdm| sales development manager| life insurance Sales , Retail , Business Development Insurance 1 - 6 yrs"
NAU_888213, Urgent Opening / RM - Telesales / Delhi -moti Nagar,Naukri Listed Company,Delhi (New Moti Nagar) ," 2,00,000 - 2,50,000 PA. "," Urgent Opening / RM - Telesales / Delhi -moti Nagar Voice  rm| telecalling| tele caller| tele marketing executive| telecaller| domestic bpo| bpo| international bpo| call centre| Communication Skills| Outbound Sales| Outbound Calling| Outbound Process ITES , BPO , KPO , LPO , Customer Service , Operations Banking, Financial Services, Broking 0 - 5 yrs"
NAU_356875, Area Initiator (medical Representative),Naukri Listed Company,"Bengaluru,Ahmedabad,Delhi,Faridabad,Gurgaon,Lucknow"," 1,75,000 - 4,50,000 PA. "," Area Initiator (medical Representative) Retail Sales  fso| pharma marketing| Field Sales Officer| cardio| cardiovascular| roi| sales| pharmaceutical sales| brand promotion| territory officer| diabetes| medical marketing Sales , Retail , Business Development Pharma, Biotech, Clinical Research 0 - 5 yrs"
NAU_681352,Asp.net Developer Hiring @ FIS Chennai - Ambattur,Naukri Listed Company,Chennai,Openings: 2,"Asp.net Developer Hiring @ FIS Chennai - Ambattur Programming & Design angular|MVC Framework|ASP.Net|SQL IT Software - Application Programming , Maintenance IT-Software / Software Services  4 - 7 Years"
NAU_531424, Backup &amp; Storage Admin,Naukri Listed Company,Delhi, Not Disclosed by Recruiter ," Backup &amp; Storage Admin Programming & Design  c++| C| technical| data| architect| HTML| lead| SQL| quality| PMP| database| system| JavaScript| design| MySQL| .NET| PHP| Oracle| Python IT Software - Application Programming , Maintenance IT-Software, Software Services 2 - 7 yrs"
NAU_865441, Python Developer - Django/flask,Naukri Listed Company,Bengaluru, Not Disclosed by Recruiter ," Python Developer - Django/flask Programming & Design  jQuery| OOPS| Django| Javascript| Agile| Data Structure| Python| SQL IT Software - Application Programming , Maintenance IT-Software, Software Services 5 - 7 yrs"
NAU_255590, Direct Walk - in For Backend Operations - 0 To 4 Years Experience,Naukri Listed Company,Chennai, Not Disclosed by Recruiter ," Direct Walk - in For Backend Operations - 0 To 4 Years Experience Voice  bpo| Excel| backend operations| non voice| kpo ITES , BPO , KPO , LPO , Customer Service , Operations BPO, Call Centre, ITeS 1 - 4 yrs"
NAU_914895, HMI Developer @ Top MNC Company,Naukri Listed Company,Bengaluru," 7,00,000 - 13,00,000 PA. "," HMI Developer @ Top MNC Company Programming & Design  Embedded C| C++| Linux| Design Patterns| HMI| OOPS| Programming| Solution Development| Embedded Development IT Software - Embedded , EDA , VLSI , ASIC , Chip Design Automobile, Auto Anciliary, Auto Components 5 - 8 yrs"
NAU_663825, Business Development (siemens Product: Factory Automation & Drives),Naukri Listed Company,Pune (Marunji) ," 3,00,000 - 5,00,000 PA. "," Business Development (siemens Product: Factory Automation & Drives) Retail Sales  Business Development| Sales| New Business Sales , Retail , Business Development Office Equipment, Automation 2 - 5 yrs"
NAU_856601, Release Project Manager,Naukri Listed Company,Bengaluru, Not Disclosed by Recruiter ," Release Project Manager Programming & Design  Project management| Process improvement| CRM| Computer science| Analytical| Agile| Scheduling| Windows| Continuous improvement| Release management IT Software - Application Programming , Maintenance Strategy, Management Consulting Firms 2 - 10 yrs"
NAU_239986, BD Executive/ Sr. Executive- Bangalore- Gati ( B2B Sales),Naukri Listed Company,Bengaluru, Not Disclosed by Recruiter ," BD Executive/ Sr. Executive- Bangalore- Gati ( B2B Sales) Corporate Sales  marketing| b2b sales| Lead Generation| new business| business development| corporate sales| sales| direct sales Sales , Retail , Business Development Courier, Transportation, Freight , Warehousing 1 - 5 yrs"
NAU_497561, Lady Home Tutor for English in Mulund,Naukri Listed Company,"Mumbai,Mumbai Suburbs,Thane"," 1,00,000 - 3,50,000 PA. "," Lady Home Tutor for English in Mulund Teachers  teaching| tutoring| teachers| mulund| home tuition| English| English Literature| English Language Teaching , Education , Training , Counselling Education, Teaching, Training 1 - 6 yrs"
NAU_526066, Sales Principal,Naukri Listed Company,Mumbai (Lower Parel) ," 18,00,000 - 25,00,000 PA. "," Sales Principal Retail Sales  business development| sales strategy| new client acquisition| client management| market assessment| Sales Sales , Retail , Business Development KPO, Research, Analytics 8 - 12 yrs"
